"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";1444;1071;1212;950;251;71;22;18;19;34;126;426;5644
"12 Acre";85;153;180;209;170;95;65;43;87;121;359;661;2228
"13 Amazonas";1258;1687;1583;1305;575;118;124;71;47;121;256;385;7530
"14 Roraima";97;188;289;488;652;464;945;519;405;262;315;304;4928
"15 Pará";4292;3263;2762;2135;780;449;223;130;172;308;354;752;15620
"16 Amapá";131;106;115;117;68;34;18;23;51;201;254;89;1207
"17 Tocantins";2340;2172;2092;1807;819;289;78;54;57;93;164;384;10349
"21 Maranhão";526;978;1591;1419;504;189;72;56;27;17;57;74;5510
"22 Piauí";186;282;714;598;325;183;52;16;26;16;29;37;2464
"23 Ceará";2320;4133;6622;14809;13245;4689;996;495;331;256;267;437;48600
"24 Rio Grande do Norte";2033;2731;3986;7146;7564;2895;1058;472;195;171;196;438;28885
"25 Paraíba";397;1124;1603;2730;1130;403;143;91;66;42;29;48;7806
"26 Pernambuco";598;1013;2676;6533;4849;1678;677;297;142;112;109;114;18798
"27 Alagoas";434;446;1048;4156;3575;1223;789;383;388;241;229;224;13136
"28 Sergipe";481;628;2234;8055;7965;1583;195;54;36;63;122;138;21554
"29 Bahia";1308;2907;5820;10079;6192;2245;1012;547;387;902;1275;1295;33969
"31 Minas Gerais";1572;3466;10003;18223;10477;2943;393;208;186;356;766;714;49307
"32 Espírito Santo";486;1030;4835;8577;5496;2043;565;340;186;317;729;1253;25857
"33 Rio de Janeiro";15742;22485;66273;65671;20076;3214;1138;548;533;726;1168;2465;200039
"35 São Paulo";1033;1302;2787;3526;1279;453;301;160;130;154;206;395;11726
"41 Paraná";127;144;398;469;251;70;40;59;43;49;76;134;1860
"42 Santa Catarina";8;11;17;22;5;4;3;-;-;2;3;7;82
"43 Rio Grande do Sul";26;21;30;26;15;5;1;1;1;2;2;4;134
"50 Mato Grosso do Sul";129;86;190;139;36;29;11;14;16;23;44;42;759
"51 Mato Grosso";1551;1486;1379;942;310;123;43;73;99;106;202;469;6783
"52 Goiás";2830;4065;7334;11007;4994;1502;480;334;268;561;868;1290;35533
"53 Distrito Federal";168;154;264;335;187;64;24;37;23;30;19;46;1351
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";41602;57132;128037;171473;91790;27058;9468;5043;3921;5286;8224;12625;561659
&
