"UF de notificação";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"11 Rondônia";273;301;260;169;124;94;68;60;109;215;480;975;3128
"12 Acre";65;105;98;84;28;9;3;3;2;10;60;59;526
"13 Amazonas";36;124;156;174;125;165;150;96;120;167;327;298;1938
"14 Roraima";144;52;25;48;70;65;140;82;70;57;80;80;913
"15 Pará";971;1471;2259;1803;900;467;444;475;556;1033;1632;1947;13958
"16 Amapá";468;563;899;659;467;154;62;66;77;49;55;112;3631
"17 Tocantins";1756;2533;2786;1659;1141;487;243;179;185;426;704;721;12820
"21 Maranhão";1476;2423;2648;2133;1871;999;633;334;190;168;177;293;13345
"22 Piauí";716;593;882;1208;2550;2542;665;287;147;86;68;162;9906
"23 Ceará";1849;2618;3274;5322;5906;5239;3481;2157;1318;1294;1054;883;34395
"24 Rio Grande do Norte";506;640;1361;1497;1400;1538;1802;1178;832;831;687;795;13067
"25 Paraíba";310;802;1735;2306;1726;906;1066;667;329;340;324;277;10788
"26 Pernambuco";821;1399;3147;5273;5040;3004;1781;659;362;384;341;389;22600
"27 Alagoas";257;239;634;794;1478;1600;1893;1428;711;608;543;438;10623
"28 Sergipe";45;39;90;221;95;169;243;135;106;68;95;125;1431
"29 Bahia";754;839;1629;1478;1153;638;709;452;282;406;589;556;9485
"31 Minas Gerais";1631;3196;7910;8359;4557;1059;343;117;122;265;365;631;28555
"32 Espírito Santo";560;837;1070;1567;1130;547;432;148;111;99;142;172;6815
"33 Rio de Janeiro";2575;5139;12082;12761;9566;3833;1908;894;655;1020;2282;3702;56417
"35 São Paulo";5449;15652;35144;35649;16131;2603;910;325;431;597;1140;1278;115309
"41 Paraná";673;2364;8706;10833;3849;322;80;33;52;73;140;149;27274
"42 Santa Catarina";20;23;22;29;22;3;4;1;2;10;14;7;157
"43 Rio Grande do Sul";22;18;57;256;36;5;3;2;2;3;7;12;423
"50 Mato Grosso do Sul";17752;23808;18499;6941;1770;237;73;30;20;70;154;968;70322
"51 Mato Grosso";3115;3295;3353;2146;1336;700;364;214;138;292;672;973;16598
"52 Goiás";1918;2645;3080;1973;1255;743;420;289;203;459;747;1121;14853
"53 Distrito Federal";115;155;238;184;156;68;78;38;27;71;71;53;1254
"00 Ignorado/exterior";-;-;-;-;-;-;-;-;-;-;-;-;-
"Total";44277;71873;112044;105526;63882;28196;17998;10349;7159;9101;12950;17176;500531
&
