"pathogen","country","location","locationType","dateStart","dateEnd","count","countCumu","sevCount","sevCountCumu","source","notes"
"Chik","Brazil","Rondonia","state",2015-01-04,2015-04-25,NA,0,NA,"total=0","EpiBulletinPrevYear",""
"Chik","Brazil","Acre","state",2015-01-04,2015-04-25,NA,3,NA,"total=3","EpiBulletinPrevYear",""
"Chik","Brazil","Amazonas","state",2015-01-04,2015-04-25,NA,5,NA,"total=5","EpiBulletinPrevYear",""
"Chik","Brazil","Roraima","state",2015-01-04,2015-04-25,NA,16,NA,"total=16","EpiBulletinPrevYear",""
"Chik","Brazil","Para","state",2015-01-04,2015-04-25,NA,17,NA,"total=17","EpiBulletinPrevYear",""
"Chik","Brazil","Amapa","state",2015-01-04,2015-04-25,NA,833,NA,"total=833","EpiBulletinPrevYear",""
"Chik","Brazil","Tocantins","state",2015-01-04,2015-04-25,NA,4,NA,"total=4","EpiBulletinPrevYear",""
"Chik","Brazil","Maranhao","state",2015-01-04,2015-04-25,NA,81,NA,"total=81","EpiBulletinPrevYear",""
"Chik","Brazil","Piaui","state",2015-01-04,2015-04-25,NA,228,NA,"total=228","EpiBulletinPrevYear",""
"Chik","Brazil","Ceara","state",2015-01-04,2015-04-25,NA,13,NA,"total=13","EpiBulletinPrevYear",""
"Chik","Brazil","Rio_Grande_do_Norte","state",2015-01-04,2015-04-25,NA,2633,NA,"total=2633","EpiBulletinPrevYear",""
"Chik","Brazil","Paraiba","state",2015-01-04,2015-04-25,NA,5,NA,"total=5","EpiBulletinPrevYear",""
"Chik","Brazil","Pernambuco","state",2015-01-04,2015-04-25,NA,56,NA,"total=56","EpiBulletinPrevYear",""
"Chik","Brazil","Alagoas","state",2015-01-04,2015-04-25,NA,170,NA,"total=170","EpiBulletinPrevYear",""
"Chik","Brazil","Sergipe","state",2015-01-04,2015-04-25,NA,60,NA,"total=60","EpiBulletinPrevYear",""
"Chik","Brazil","Bahia","state",2015-01-04,2015-04-25,NA,5422,NA,"total=5422","EpiBulletinPrevYear",""
"Chik","Brazil","Minas_Gerais","state",2015-01-04,2015-04-25,NA,11,NA,"total=11","EpiBulletinPrevYear",""
"Chik","Brazil","Espirito_Santo","state",2015-01-04,2015-04-25,NA,1,NA,"total=1","EpiBulletinPrevYear",""
"Chik","Brazil","Rio_de_Janeiro","state",2015-01-04,2015-04-25,NA,3,NA,"total=3","EpiBulletinPrevYear",""
"Chik","Brazil","Sao_Paulo","state",2015-01-04,2015-04-25,NA,69,NA,"total=69","EpiBulletinPrevYear",""
"Chik","Brazil","Parana","state",2015-01-04,2015-04-25,NA,13,NA,"total=13","EpiBulletinPrevYear",""
"Chik","Brazil","Santa_Catarina","state",2015-01-04,2015-04-25,NA,2,NA,"total=2","EpiBulletinPrevYear",""
"Chik","Brazil","Rio_Grande_do_Sul","state",2015-01-04,2015-04-25,NA,5,NA,"total=5","EpiBulletinPrevYear",""
"Chik","Brazil","Mato_Grosso_do_Sul","state",2015-01-04,2015-04-25,NA,4,NA,"total=4","EpiBulletinPrevYear",""
"Chik","Brazil","Mato_Grosso","state",2015-01-04,2015-04-25,NA,4,NA,"total=4","EpiBulletinPrevYear",""
"Chik","Brazil","Goias","state",2015-01-04,2015-04-25,NA,32,NA,"total=32","EpiBulletinPrevYear",""
"Chik","Brazil","Distrito_Federal","state",2015-01-04,2015-04-25,NA,20,NA,"total=20","EpiBulletinPrevYear",""
