report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,probable_value,severe_value,alarm_value,death_value,unit
,Brazil-Rondonia,state,dengue_reported,NA,NA,NA,7993,2,9,2,cases
,Brazil-Acre,state,dengue_reported,NA,NA,NA,2376,0,12,0,cases
,Brazil-Amazonas,state,dengue_reported,NA,NA,NA,16957,6,9,7,cases
,Brazil-Roraima,state,dengue_reported,NA,NA,NA,788,2,1,0,cases
,Brazil-Para,state,dengue_reported,NA,NA,NA,8578,2,22,2,cases
,Brazil-Amapa,state,dengue_reported,NA,NA,NA,1656,2,7,1,cases
,Brazil-Tocantins,state,dengue_reported,NA,NA,NA,7965,3,46,0,cases
,Brazil-Maranhao,state,dengue_reported,NA,NA,NA,3413,14,47,11,cases
,Brazil-Piaui,state,dengue_reported,NA,NA,NA,4764,11,22,4,cases
,Brazil-Ceara,state,dengue_reported,NA,NA,NA,28729,51,193,42,cases
,Brazil-Rio_Grande_do_Norte,state,dengue_reported,NA,NA,NA,17403,17,108,15,cases
,Brazil-Paraiba,state,dengue_reported,NA,NA,NA,12695,7,53,7,cases
,Brazil-Pernambuco,state,dengue_reported,NA,NA,NA,7276,19,28,21,cases
,Brazil-Alagoas,state,dengue_reported,NA,NA,NA,9479,15,180,1,cases
,Brazil-Sergipe,state,dengue_reported,NA,NA,NA,635,7,10,3,cases
,Brazil-Bahia,state,dengue_reported,NA,NA,NA,59621,28,98,10,cases
,Brazil-Minas_Gerais,state,dengue_reported,NA,NA,NA,413489,45,638,43,cases
,Brazil-Espirito_Santo,state,dengue_reported,NA,NA,NA,66274,24,277,9,cases
,Brazil-Rio_de_Janeiro,state,dengue_reported,NA,NA,NA,211101,11,76,7,cases
,Brazil-Sao_Paulo,state,dengue_reported,NA,NA,NA,219153,180,4928,81,cases
,Brazil-Parana,state,dengue_reported,NA,NA,NA,65256,38,210,12,cases
,Brazil-Santa_Catarina,state,dengue_reported,NA,NA,NA,350,0,1,0,cases
,Brazil-Rio_Grande_do_Sul,state,dengue_reported,NA,NA,NA,441,0,1,0,cases
,Brazil-Mato_Grosso_do_Sul,state,dengue_reported,NA,NA,NA,78333,3,58,3,cases
,Brazil-Mato_Grosso,state,dengue_reported,NA,NA,NA,33516,4,26,4,cases
,Brazil-Goias,state,dengue_reported,NA,NA,NA,133518,117,583,74,cases
,Brazil-Distrito_Federal,state,dengue_reported,NA,NA,NA,11598,36,136,18,cases
